Category,Skills & Details,Tools & Technologies,Education Details
,"Networking- Exprience - Less than 1 year months Subnetting,Supernetting- Exprience - Less than 1 year months Access Lists- Exprience - Less than 1 year months ACLS- Exprience - 6 months Network Address Translation(NAT)- Exprience - Less than 1 year months VLAN- Exprience - Less than 1 year months AAA- Exprience - Less than 1 year months IPSec- Exprience - Less than 1 year months ACCESS CONTROL LISTS- Exprience - 6 months DHCP Snooping- Exprience - Less than 1 year months Private Vlan- Exprience - Less than 1 year months VLAN Hopping- Exprience - Less than 1 year months VPN- Exprience - Less than 1 year months Routing protocols-RIP,EIGRP,OSPF,BGP- Exprience - Less than 1 year months DM-VPN- Exprience - Less than 1 year months Switching- Exprience - Less than 1 year months Control Plane Security- Exprience - Less than 1 year months Data Plane Security- Exprience - Less than 1 year months Management Plane Security- Exprience - Less than 1 year months Network Telemetary- Exprience - Less than 1 year months Firewall- Exprience - Less than 1 year months Firewall Filtering Technologies- Exprience - Less than 1 year months ASA Failovers- Exprience - Less than 1 year months Zone Based Firewall- Exprience - Less than 1 year months Reputation Based Firewall- Exprience - Less than 1 year months Security Context- Exprience - Less than 1 year months Security- Exprience - Less than 1 year months","Cisco Certified Network Associates (CCNA): -Basic knowledge of networking such as Ethernet mediums, ethernet communication, types of Ethernet communication devices etc.  IPv4 (Subnetting, Supernetting) Basic configuration of Routing, Switching, Access lists, Network Address Translation (NAT), Virtual LANs (VLANs) etc Cisco Certified Network Associates (CCNA-Security): - Basic security goals and need. Different types of attacks like access attacks, reconnaissance strategies etc. Basic configuration of firewalls.  Mitigation techniques such as access control lists, private VLANs, VLAN hopping, IP source guard, DHCP snooping, Authentication, Authorization & Accounting (AAA), IP Security (IPsec) etc. Cisco Certified Network Professional (CCNP-Routing, Switching & MPLS): - Routing-Configuration and concept of EIGRP, OSPF and BGP.  Switching-Virtual LANs (VLANs), spanning tree protocol (STP), queuing etc. MPLS (Multi-Protocol Label Switching) -Basic idea about working, types and modes of MPLS, penultimate hopping in mpls etc. Cisco Certified Network Professional Security (ASA Module): - Knowledge of Control Plane Security, Management Plane Security and Data Plane Security. Knowledge of Network Telemetary (NTP, NetFlow, Logging), NAT fundamental on ASA. Firewall filtering technologies, ASA modes of deployment, ASA failover, Security context, Reputation based firewall, Identity firewall, Zone based firewall.","January 2018 B.E Technology Mumbai, Maharashtra Mumbai university H.S.C Mahatma Gandhi High Maharashtra State Board S.S.C. Mahatma Gandhi High Maharashtra State Board School & Junior College"
,FIREWALLS- Exprience - 97 months CISCO- Exprience - 89 months SECURITY- Exprience - 72 months FIREWALL- Exprience - 45 months CHECKPOINT- Exprience - 44 months,"Cisco ASA, Checkpoint firewall (GAIA, Splat), Palo Alto firewalls Firewall management tools: Cisco security management (CSM), Checkpoint Smart center, Palo Alto Panorama â¢ F5 load balancer (LTM)  Networking Hands on Cisco Router and Cisco Switches, Security Management & Event Management: RSAEnvision 4.1, Ticketing tools - BMC Remedy, Service-now Other Technologies: Software languages: Python, VB Scripting","January 2006 to January 2010 Bachelor of Engineering Information Technology Mumbai, Maharashtra Mumbai University"
,CISCO- Exprience - 43 months DHCP- Exprience - 43 months DNS- Exprience - 43 months FTP- Exprience - 43 months LAN- Exprience - 43 months,"Operating Systems: Windows, Linux, Ubuntu Network Technologies : Cisco Routing and Switching, InterVLAN Routing, Dynamic Protocols i.e. RIPv2, RIPng, OSPF, EIGRP. Static Routing, ACL, VTP, VLAN, EhterChannel, HSRP, STP, IPv6, Lan Troubleshooting, Structured Network Cabling, Cisco Firewall and Fortinet Firewall, RHEL 6 networks. Networking Devices : Cisco Routers: 1800s, 1900s, 2600s, 2900s, 3600s, 3800s, 7200s etc. : Cisco Switches: Cisco Catalyst 2900s, 3700s, 4850s etc. : HP ProLiant Servers, Dell Server, Lenovo Servers etc. : Fortinet Firewall, Modem etc. Server Technologies : AD, RODC, FTP, Print Server, SCCM, WDS, DHCP, Group Policies, DHCP Server, DNS Server, RIS Server, User policies, computer policies etc. Backup Technologies: Server 2016 backup tools, Symantec Backup EXEC 12D etc. Virtualisation: VMWare ESXi, VMware Workstation, Oracle VirtualBox, GNS3 Network Simulator etc.",MSC AISECT university in distance education B. Com Jiwaji University
,Network Security- Exprience - 72 months CHECKPOINT- Exprience - 72 months CISCO- Exprience - 72 months CISCO ASA- Exprience - 72 months Cisco routing and switching- Exprience - 60 months Loadbalncing F5- Exprience - 60 months security- Exprience - Less than 1 year months Cisco- Exprience - Less than 1 year months VPN- Exprience - Less than 1 year months LAN- Exprience - Less than 1 year months Networking- Exprience - Less than 1 year months,"Experience in Implementing, and troubleshooting network security solutions Planning and Implementation knowledge of multi vendor firewalls (Cisco ASA, Checkpoint (Upto R.80) Juniper/Netscreen, Fortinet, FWSM) Familiarity with the latest hardware and network security technologies  Excellent analytical and problem solving skills Skilled in analyzing and monitoring network security solutions using a variety of Monitoring solutions (Zenoss, Solarwinds, Cisco Prime)  Work Experience on multi client data center environments.  Knowledge and Work experience on Firewall IOS Upgrade projects Configuration of F5 load balancers, SSL certificate updates, I-Rule. F5 upgrades Configuration of Cisco Routers ( series- 1800, 1900, 2500, 2600, 2800, 3600, Nexus - 5k, 7k) Configuration of Cisco switches (series - 2960, 3750, catalyst, 4500, 3600) Working knowledge of Bluecoat Proxy Knowledge of ITIL process.","September 2006 to August 2011 Bachelor of Engineering (BE) Electronics Pune, Maharashtra A.I.S.S.M.S College of Engineering, University of Pune July 2004 to February 2006 Higher Secondary Certificate Science Pune, Maharashtra Sinhgad College, University Of Pune June 2003 to March 2004 secondary school certificate (SSC) science Pune, Maharashtra M.E.S Boys High School, Maharashtra, Pune"
,FIREWALLS- Exprience - 97 months CISCO- Exprience - 89 months SECURITY- Exprience - 72 months FIREWALL- Exprience - 45 months CHECKPOINT- Exprience - 44 months,"Cisco ASA, Checkpoint firewall (GAIA, Splat), Palo Alto firewalls  Firewall management tools: Cisco security management (CSM), Checkpoint Smart center, Palo Alto Panorama F5 load balancer (LTM)  Networking Hands on Cisco Router and Cisco Switches,  Security Management & Event Management: RSAEnvision 4.1, Ticketing tools - BMC Remedy, Service-now Other Technologies: Software languages: Python, VB Scripting","January 2006 to January 2010 Bachelor of Engineering Information Technology Mumbai, Maharashtra Mumbai University"
,CISCO- Exprience - 43 months DHCP- Exprience - 43 months DNS- Exprience - 43 months FTP- Exprience - 43 months LAN- Exprience - 43 months,"Operating Systems: Windows, Linux, Ubuntu Network Technologies : Cisco Routing and Switching, InterVLAN Routing, Dynamic Protocols i.e. RIPv2, RIPng, OSPF, EIGRP. Static Routing, ACL, VTP, VLAN, EhterChannel, HSRP, STP, IPv6, Lan Troubleshooting, Structured Network Cabling, Cisco Firewall and Fortinet Firewall, RHEL 6 networks. Networking Devices : Cisco Routers: 1800s, 1900s, 2600s, 2900s, 3600s, 3800s, 7200s etc. : Cisco Switches: Cisco Catalyst 2900s, 3700s, 4850s etc. : HP ProLiant Servers, Dell Server, Lenovo Servers etc. : Fortinet Firewall, Modem etc. Server Technologies : AD, RODC, FTP, Print Server, SCCM, WDS, DHCP, Group Policies, DHCP Server, DNS Server, RIS Server, User policies, computer policies etc. Backup Technologies: Server 2016 backup tools, Symantec Backup EXEC 12D etc. Virtualisation: VMWare ESXi, VMware Workstation, Oracle VirtualBox, GNS3 Network Simulator etc.",MSC AISECT university in distance education B. Com Jiwaji University
,Network Security- Exprience - 72 months CHECKPOINT- Exprience - 72 months CISCO- Exprience - 72 months CISCO ASA- Exprience - 72 months Cisco routing and switching- Exprience - 60 months Loadbalncing F5- Exprience - 60 months security- Exprience - Less than 1 year months Cisco- Exprience - Less than 1 year months VPN- Exprience - Less than 1 year months LAN- Exprience - Less than 1 year months Networking- Exprience - Less than 1 year months,"Experience in Implementing, and troubleshooting network security solutions  Planning and Implementation knowledge of multi vendor firewalls (Cisco ASA, Checkpoint (Upto R.80) Juniper/Netscreen, Fortinet, FWSM) Familiarity with the latest hardware and network security technologies Excellent analytical and problem solving skills Skilled in analyzing and monitoring network security solutions using a variety of Monitoring solutions (Zenoss, Solarwinds, Cisco Prime)  Work Experience on multi client data center environments.  Knowledge and Work experience on Firewall IOS Upgrade projects  Configuration of F5 load balancers, SSL certificate updates, I-Rule. F5 upgrades Configuration of Cisco Routers ( series- 1800, 1900, 2500, 2600, 2800, 3600, Nexus - 5k, 7k) Configuration of Cisco switches (series - 2960, 3750, catalyst, 4500, 3600)  Working knowledge of Bluecoat Proxy Knowledge of ITIL process.","September 2006 to August 2011 Bachelor of Engineering (BE) Electronics Pune, Maharashtra A.I.S.S.M.S College of Engineering, University of Pune July 2004 to February 2006 Higher Secondary Certificate Science Pune, Maharashtra Sinhgad College, University Of Pune June 2003 to March 2004 secondary school certificate (SSC) science Pune, Maharashtra M.E.S Boys High School, Maharashtra, Pune Network and Security Engineer"
,FIREWALLS- Exprience - 97 months CISCO- Exprience - 89 months SECURITY- Exprience - 72 months FIREWALL- Exprience - 45 months CHECKPOINT- Exprience - 44 months,"Technical Expertise:  Cisco ASA, Checkpoint firewall (GAIA, Splat), Palo Alto firewalls Firewall management tools: Cisco security management (CSM), Checkpoint Smart center, Palo Alto Panorama  F5 load balancer (LTM) Networking Hands on Cisco Router and Cisco Switches, Security Management & Event Management: RSAEnvision 4.1, Ticketing tools - BMC Remedy, Service-now Other Technologies: Software languages: Python, VB Scripting","January 2006 to January 2010 Bachelor of Engineering Information Technology Mumbai, Maharashtra Mumbai University"
Python Developer,Flask- Exprience - Less than 1 year months Python- Exprience - Less than 1 year months Restful- Exprience - Less than 1 year months Rest- Exprience - Less than 1 year months Numpy- Exprience - Less than 1 year months AS/400- Exprience - 90 months,"Python development: Python - MongoDB,Python - MySql,Python Cache & Memoization,Python GIT,Python PWS (Pivotal Web Service - Cloud Foundry)","M.Sc. Computer Science Pune, Maharashtra Pune University B.Sc. Computer Science Pune, Maharashtra Pune University H.S.C. Pune, Maharashtra Pune University"
,C++- Exprience - 6 months MYSQL- Exprience - 6 months PYTHON- Exprience - 6 months,"Platform: Ubuntu/Fedora/Cent OS/Windows Database: MySQL Languages: Python, Tensorflow, Numpy, C, C++","January 2016 ME Computer Engineering Pune, Maharashtra Savitribai Phule Pune University January 2014 B.E Computer Engineering Pune, Maharashtra Savitribai Phule Pune University January 2010 RYK Science College, Maharashtra state board January 2008 Maharashtra state board"
,CSS- Exprience - 31 months DJANGO- Exprience - 31 months HTML- Exprience - 31 months MYSQL- Exprience - 31 months PYTHON- Exprience - 31 months web services- Exprience - Less than 1 year months Logger- Exprience - Less than 1 year months Mongodb- Exprience - Less than 1 year months json- Exprience - Less than 1 year months Unix- Exprience - Less than 1 year months Rest- Exprience - Less than 1 year months Sqlit3- Exprience - Less than 1 year months,"Languages Python Python Framework Django, DRF Databases MySQL, Oracle, Sqlite, MongoDB Web Technologies CSS, HTML, RESTful Web Services REST Methodologies Agile, Scrum Version Control Github Project Managent Tool Jira Operating Systems Window, Unix","BE Dr.BAMU,Aurangabad"
,"python scripting,programming,developing- Exprience - 12 months frontend ,html- Exprience - 12 months python liabrary, numpy,pandas,matplolib,requests,beautiful soap- Exprience - 12 months mysql- Exprience - 12 months django- Exprience - 12 months web scrapping- Exprience - Less than 1 year months","Languages: C, C ++, Java, python,python liabray,mysql,django,html
Operating Systems: Windows 
Others: MS Excel, MS Office, MS Power Point","January 2014 B.E. Electronics Mumbai, Maharashtra University of Mumbai"
SAP Developer,DATA WAREHOUSING- Exprience - 6 months SAP BO ADMIN- Exprience - Less than 1 year months SAP BODS- Exprience - Less than 1 year months ETL- Exprience - Less than 1 year months BASIC CORE JAVA- Exprience - Less than 1 year months SAP BO- Exprience - Less than 1 year months SAP BODS ADMIN- Exprience - Less than 1 year months BASIC PYTHON- Exprience - Less than 1 year months,ETL Data Warehousing SQL/PL SQL Basic Core Java Basic Python Tools: SAP BODS SAP BO Oracle 11g Sybase,"August 2008 to July 2012 Bachelor of Engineering Navi Mumbai Panvel, Maharashtra Mumbai University June 2006 to May 2007 B.E Computer Engineering Navi Mumbai, Maharashtra Ryan International School"
,SAP HANA- Exprience - 60 months SAP BO- Exprience - 36 months,SAP HANA SPS12 SAP ECC 6.0 SQL Remedy SharePoint SAP Logon WEBI Power BI,"July 2008 to February 2012 BE COMPUTER SCIENCE Nagpur, Maharashtra NAGPUR UNIVERSITY"
,Sap Bi- Exprience - 72 months CMC- Exprience - 72 months HANA- Exprience - 36 months BUSINESS INTELLIGENCE- Exprience - 72 months SQL- Exprience - 72 months SAP BO- Exprience - 72 months,"SAP Business Intelligence Version SAP BO 4.2 BO Tools Design Studio, IDT, Webi, UDT, CMC activities Backend DB HANA, BW, Bex Queries, SQL",
Web designing,PHOTOSHOP- Exprience - 28 months BOOTSTRAP- Exprience - 6 months HTML5- Exprience - 6 months JAVASCRIPT- Exprience - 6 months CSS3- Exprience - Less than 1 year months Angular 4- Exprience - Less than 1 year months,"Web Technologies: Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript. Software: Brackets, Visual Studio, Photoshop, Visual Studio Code","January 2015 B.E CSE Nagpur, Maharashtra G.H.Raisoni College of Engineering October 2009 Photography Competition Click Nagpur, Maharashtra Maharashtra State Board"
,,"HTML, CSS, BOOTSTRAP, PHP, JQUERY, AJAX, JAVA SCRIPT.","B.C.A Bachelor Computer Application Pune, Maharashtra Pune University H.S.C. Pune, Maharashtra Pune University S.S.C. Pune, Maharashtra Pune University"
,Web design- Exprience - 12 months Php- Exprience - 12 months,,"January 2016 B.Sc. Information Technology Mumbai, Maharashtra University of Mumbai January 2012 HSC Allahabad, Uttar Pradesh Allahabad university January 2010 SSC dot Net Allahabad, Uttar Pradesh Allahabad university"
,BOOTSTRAP- Exprience - 24 months HTML5- Exprience - 24 months JAVASCRIPT- Exprience - 24 months jQuery- Exprience - 24 months COREL DRAW- Exprience - 24 months Adobe Photoshop- Exprience - 24 months Adobe Illustrator- Exprience - 12 months CSS3- Exprience - 24 months,"Languages: C (Basic), JAVA (Basic) Web Technologies: HTML5, CSS3, Bootstrap, JavaScript, jQuery, Corel Draw, Photoshop, Illustrator Databases: MySQL5.0 IDE & Tools: Sublime Text, Notepad Operating Systems: Windows XP, Windows 7","September 2015 Bachelor of Engineer Information technology Nagpur, Maharashtra Nagpur University May 2011 HSC Secondary & Higher Secondary State Board of Secondary June 2009 SSC Secondary & Higher Secondary Maharashtra State Board of Secondary"
